TIME PERIOD;MEDIA;SECTOR;CATEGORY;SUBCATEGORY;PARENT SITE;PROPERTY;SITE CATEGORY;MASTER BRAND;PRODUCT;AD TYPE;TRANSACTION TYPE;DIRECT/INDIRECT;R$;UNITS;IMPRESSIONS;SEC
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;FINANCAS BRASIL;FINANCAS BRASIL;ECONOMIA E FINANCA;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;2;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GAME VICIO;GAME VICIO;GEEK;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;3;1;246;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;AGUA DE SAL;AGUA DE SAL / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;87;3;21.666;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;HUGO GLOSS;HUGO GLOSS;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;7;1;3.733;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;LANCE;LANCE;ESPORTE;AGUA DE COCO;AGUA DE COCO / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;1;1;191;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;NOTICIAS DA TV;NOTICIAS DA TV;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;14;1;4.407;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;PENSANDO DIREITA;PENSANDO DIREITA;OUTROS;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;42;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TRIBUNA DA BAHIA;TRIBUNA DA BAHIA;ATUALIDADE;ESKALA;ESKALA / MODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;0;1;13;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL ECONOMIA;ECONOMIA E FINANCA;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;135;2;6.490;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOSSA;CULINARIO;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;1;1;174;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;140;14;50.066;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;52;1;3.712;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;10;1;3.712;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL SPLASH;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;7;5;3.355;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL SPLASH;TV E CELEBRIDADE;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;HTML5;Direct;Direct;10;1;995;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TUDO GOSTOSO;TUDO GOSTOSO;CULINARIO;NANUI SWIM;NANUI SWIM /MODA PRAIA FEMININA;HTML5;Ad Network;Indirect;23;1;1.370;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TUDO GOSTOSO;TUDO GOSTOSO;CULINARIO;NANUI SWIM;NANUI SWIM /MODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;23;1;1.343;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;ADORO CINEMA;ADORO CINEMA;FILME E SERIE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Direct;Direct;1;1;192;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;AUTO ESPORTE;AUTO ESPORTE;AUTOMOBILISMO E MOTOCICLISMO;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;8;1;580;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;BAND;BAND HOME PAGE;HOME PAGE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;3;1;1.462;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;BRASIL 247;BRASIL 247;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Direct;Direct;16;1;1.560;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CIFRA CLUB;CIFRA CLUB;MUSICA;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;59;32;13.110;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CIFRA CLUB;CIFRA CLUB;MUSICA;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;2;1;368;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CIFRA CLUB;CIFRA CLUB;MUSICA;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;2;1;432;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CNN BRASIL;CNN BRASIL;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Direct;Direct;141;2;8.824;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CNN BRASIL;CNN BRASIL;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;196;7;61.100;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CNN BRASIL;CNN BRASIL;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Direct;Direct;344;4;21.491;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;COISAS DE DIVA;COISAS DE DIVA;SAUDE E BEM ESTAR;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;89;4;11.104;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CONSULTOR JURIDICO;CONSULTOR JURIDICO;ATUALIDADE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;1;1;425;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CONSULTOR JURIDICO;CONSULTOR JURIDICO;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;2;2;840;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CONSULTOR JURIDICO;CONSULTOR JURIDICO;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;1;1;420;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;CORREIO;CORREIO;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;1;1;293;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;DIARIO DO BRASIL NOTICIAS;DIARIO DO BRASIL NOTICIAS;ATUALIDADE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;2;1;1.184;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;DICIONARIO DE NOMES PROPRIOS;DICIONARIO DE NOMES PROPRIOS;OUTROS;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;5;2;392;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;ESPN BR;ESPN BR;ESPORTE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;9;1;2.766;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GAUCHAZH;GAUCHAZH;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;0;1;19;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GAUCHAZH;GAUCHAZH;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Direct;Direct;0;1;9;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GAZETA DO POVO;GAZETA DO POVO;ATUALIDADE;DKJ BEACHWEAR;DKJ BEACHWEAR / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;84;4;29.904;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;73;3;18.195;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;397;14;99.229;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Direct;Direct;402;3;20.100;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;55;2;13.744;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM G1;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;207;6;51.734;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM GE;ESPORTE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Direct;Direct;237;1;11.851;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM GE;ESPORTE;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;92;1;22.988;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM GE;ESPORTE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;31;1;7.853;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM GE;ESPORTE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;278;5;69.611;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM HOME PAGE;HOME PAGE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;672;2;168.066;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM HOME PAGE;HOME PAGE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;2.162;1;108.103;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM HOME PAGE;HOME PAGE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;1.777;5;444.335;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM TECNOLOGIA;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;5;1;1.274;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;IDINHEIRO;IDINHEIRO;ECONOMIA E FINANCA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;1;1;48;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;INVESTING;INVESTING;ECONOMIA E FINANCA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;154;1;1.695;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;INVESTING;INVESTING;ECONOMIA E FINANCA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;24;1;1.316;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;LANCE;LANCE;ESPORTE;KALINI;KALINI / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;58;5;20.640;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;LETRAS E MUSICAS;LETRAS E MUSICAS;MUSICA;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;GIF/JPG;Programmatic/Ad Network;Indirect;219;27;24.327;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;LETRAS E MUSICAS;LETRAS E MUSICAS;MUSICA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;53;6;5.892;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;MEDICO RESPONDE;MEDICO RESPONDE;SAUDE E BEM ESTAR;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;1;1;14;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;MEDICO RESPONDE;MEDICO RESPONDE;SAUDE E BEM ESTAR;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;0;5;63;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;METROPOLES;METROPOLES;ATUALIDADE;KALINI;KALINI / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;33;1;10.411;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;MINHA VIDA;MINHA VIDA;SAUDE E BEM ESTAR;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;96;1;6.017;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;NOTICIAS DA TV;NOTICIAS DA TV;TV E CELEBRIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;33;1;10.362;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;O GLOBO;O GLOBO;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;19;1;6.616;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;O TEMPO;O TEMPO;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;20;1;7.236;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;O TEMPO;O TEMPO;ATUALIDADE;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;25;2;8.774;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;OLHAR DIGITAL;OLHAR DIGITAL;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Direct;Direct;25;1;1.250;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;RADIOS AO VIVO;RADIOS AO VIVO;MUSICA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;25;1;1.274;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;RADIOS AO VIVO;RADIOS AO VIVO;MUSICA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;18;2;4.501;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;RECLAMEAQUI;RECLAMEAQUI;FORUM;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;26;1;1.532;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;SEMINOVOS BH;SEMINOVOS BH;CLASSIFICADO;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;41;2;4.846;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;STEAL THE LOOK;STEAL THE LOOK;FASHION;HAIGHT;HAIGHT / MODA PMODA PRAIA FEMININA;GIF/JPG;Direct;Direct;66;2;311;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TECNOBLOG;TECNOBLOG;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;2;1;469;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TECNOBLOG;TECNOBLOG;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;3;2;938;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TODA MATERIA;TODA MATERIA;EDUCACAO;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;74;2;3.688;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TODA MATERIA;TODA MATERIA;EDUCACAO;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Direct;Direct;585;4;5.806;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TRIBUNA DA BAHIA;TRIBUNA DA BAHIA;ATUALIDADE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic Direct;Direct;0;3;18;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TRIBUNA DA BAHIA;TRIBUNA DA BAHIA;ATUALIDADE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;0;4;34;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;TUPI AM;TUPI AM;MUSICA;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;0;3;49;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL BATE PAPO;CHAT;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;25;1;14.499;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL ECONOMIA;ECONOMIA E FINANCA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic RTB;Indirect;59;1;2.855;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL EDUCACAO;EDUCACAO;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;5;1;367;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL HOME PAGE;HOME PAGE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;6.293;20;1.573.312;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;43;5;15.486;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL NOTICIAS;ATUALIDADE;PIMENTA HARD;PIMENTA HARD / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;14;1;5.170;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL SPLASH;TV E CELEBRIDADE;AGUA DOCE;AGUA DOCE / MODA PMODA PRAIA FEMININA;GIF/JPG;Ad Network;Indirect;1;1;274;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL SPLASH;TV E CELEBRIDADE;BANKA PANKA;BANKA PANKA / MODA PMODA PRAIA FEMININA;HTML5;Ad Network;Indirect;3;1;1.302;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;UOL;UOL TILT;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;110;3;39.342;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;VALOR ECONOMICO;VALOR ECONOMICO;ECONOMIA E FINANCA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;417;1;20.031;0
jan/25;Internet - Display;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;WEBMOTORS;WEBMOTORS;CLASSIFICADO;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;HTML5;Programmatic/Ad Network;Indirect;106;1;6.262;0
jan/25;Online Video;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;YOUTUBE;YT HOME PAGE DV;VIDEO;LENNY NIEMEYER;LENNY NIEMEYER / MODA PRAIA FEMININA;VIDEO;Programmatic RTB;Indirect;20;1;1.341;13.820
jan/25;Online Video;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;YOUTUBE;YT HOME PAGE DV;VIDEO;NANUI SWIM;NANUI SWIM /MODA PRAIA FEMININA;VIDEO;Programmatic RTB;Indirect;20;1;1.341;27.560
jan/25;Online Video;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;GLOBO.COM;GLOBO COM TECNOLOGIA VIDEO;TECNOLOGIA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;VIDEO;Programmatic/Ad Network;Indirect;9;1;218;15.000
jan/25;Online Video;VESTUARIO E ACESSORIOS;VESTUARIO ADULTO;MODA PRAIA FEMININA;YOUTUBE;YT 1KILO OFICIAL DV;MUSICA;VIX BRASIL;VIX BRASIL / MODA PMODA PRAIA FEMININA;VIDEO;Programmatic RTB;Indirect;168;1;11.294;15
